Step,Value,Set,Label
208,0.389819234609604,train,accuracy
416,0.467414528131485,train,accuracy
624,0.483440160751343,train,accuracy
832,0.483173072338104,train,accuracy
1040,0.503739297389984,train,accuracy
1248,0.500534176826477,train,accuracy
1456,0.510817289352417,train,accuracy
1664,0.511217951774597,train,accuracy
1872,0.52550745010376,train,accuracy
2080,0.522035241127014,train,accuracy
2292,0.516214787960053,train,accuracy
2500,0.54113245010376,train,accuracy
2708,0.536057710647583,train,accuracy
2916,0.531116425991058,train,accuracy
3124,0.554220080375671,train,accuracy
3332,0.549679458141327,train,accuracy
3540,0.542601466178894,train,accuracy
3748,0.551949799060822,train,accuracy
3956,0.540331184864044,train,accuracy
4164,0.55488783121109,train,accuracy
4376,0.554492294788361,train,accuracy
4584,0.559962630271912,train,accuracy
4792,0.565838694572449,train,accuracy
5000,0.567040622234345,train,accuracy
5208,0.561832249164581,train,accuracy
5416,0.561832249164581,train,accuracy
5624,0.567174136638641,train,accuracy
5832,0.575988233089447,train,accuracy
6040,0.567975401878357,train,accuracy
6248,0.570913434028626,train,accuracy
6460,0.589712917804718,train,accuracy
6668,0.604700863361359,train,accuracy
6876,0.60176283121109,train,accuracy
7084,0.597622871398926,train,accuracy
7292,0.60443377494812,train,accuracy
7500,0.602697670459747,train,accuracy
7708,0.603098273277283,train,accuracy
7916,0.609375,train,accuracy
8124,0.605769217014313,train,accuracy
8332,0.604567289352417,train,accuracy
8544,0.616028726100922,train,accuracy
8752,0.619925200939178,train,accuracy
8960,0.603098273277283,train,accuracy
9168,0.606837630271912,train,accuracy
9376,0.612847208976746,train,accuracy
9584,0.618856847286224,train,accuracy
9792,0.61244660615921,train,accuracy
10000,0.621527791023254,train,accuracy
10208,0.625801265239716,train,accuracy
10416,0.616586565971375,train,accuracy
10628,0.616826176643372,train,accuracy
10836,0.617120742797852,train,accuracy
11044,0.619391024112701,train,accuracy
11252,0.628205120563507,train,accuracy
11460,0.620459377765656,train,accuracy
11668,0.626869678497314,train,accuracy
11876,0.621127128601074,train,accuracy
12084,0.620325863361358,train,accuracy
12292,0.624065160751343,train,accuracy
12500,0.637019217014313,train,accuracy
12712,0.632642209529877,train,accuracy
12920,0.625934839248657,train,accuracy
13128,0.633680582046509,train,accuracy
13336,0.631009638309479,train,accuracy
13544,0.627403855323792,train,accuracy
13752,0.637286305427551,train,accuracy
13960,0.640625,train,accuracy
14168,0.636885702610016,train,accuracy
14376,0.634348273277283,train,accuracy
14584,0.635550200939178,train,accuracy
14796,0.629851162433624,train,accuracy
15004,0.633547008037567,train,accuracy
15212,0.635550200939178,train,accuracy
15420,0.62272971868515,train,accuracy
15628,0.639289557933807,train,accuracy
15836,0.634081184864044,train,accuracy
16044,0.639155983924866,train,accuracy
16252,0.631009638309479,train,accuracy
16460,0.63528311252594,train,accuracy
16668,0.63795405626297,train,accuracy
16880,0.636363625526428,train,accuracy
17088,0.628605782985687,train,accuracy
17296,0.63835471868515,train,accuracy
17504,0.635817289352417,train,accuracy
17712,0.639423072338104,train,accuracy
17920,0.638888895511627,train,accuracy
18128,0.63755339384079,train,accuracy
18336,0.633947670459747,train,accuracy
18544,0.633814096450806,train,accuracy
18752,0.635149598121643,train,accuracy
18964,0.639686346054077,train,accuracy
19172,0.630608975887299,train,accuracy
